customer_id,customer_unique_id,customer_name,customer_phone,customer_email,customer_city,customer_state,customer_region,customer_tier,is_active,created_date
KH000001,UNIQUE0000001,Ly Thien Phuc,0932014011,ly.thien.phuc616@customer.tgdd.vn,Long Xuyen,An Giang,South,Platinum,True,2025-09-15T10:44:38
KH000002,UNIQUE0000002,Thoi Linh Nhi,0915508443,thoi.linh.nhi143@customer.tgdd.vn,Pleiku,Gia Lai,Central Highlands,Platinum,True,2024-11-23T10:44:38
KH000003,UNIQUE0000003,Pham Ha Thuy,0936755607,pham.ha.thuy818@customer.tgdd.vn,Can Tho,Can Tho,South,Gold,True,2025-04-24T10:44:38
KH000004,UNIQUE0000004,Duong Huong Phuong,0929214867,duong.huong.phuong871@customer.tgdd.vn,Quy Nhon,Binh Dinh,Central,Platinum,True,2023-06-16T10:44:38
KH000005,UNIQUE0000005,Vu Loc Khiem,0962789593,vu.loc.khiem424@customer.tgdd.vn,Pleiku,Gia Lai,Central Highlands,Silver,True,2024-01-10T10:44:38
KH000006,UNIQUE0000006,Bui Linh Man,0920317978,bui.linh.man147@customer.tgdd.vn,Bien Hoa,Dong Nai,South,Gold,True,2023-08-08T10:44:38
KH000007,UNIQUE0000007,Dinh Anh Truong,0910758736,đinh.anh.truong614@customer.tgdd.vn,Nha Trang,Khanh Hoa,Central,Diamond,False,2023-10-16T10:44:38
KH000008,UNIQUE0000008,Vu Van Thien,0912987478,vu.van.thien788@customer.tgdd.vn,Hai Phong,Hai Phong,North,Silver,True,2025-07-21T10:44:38
KH000009,UNIQUE0000009,Kieu Lan Ngoc,0996551301,kieu.lan.ngoc590@customer.tgdd.vn,Dong Ha,Quang Tri,Central,Gold,True,2025-11-10T10:44:38
KH000010,UNIQUE0000010,Ho Vy Bi,0996646256,ho.vy.bi375@customer.tgdd.vn,Ha Tinh,Ha Tinh,North,Gold,False,2023-04-11T10:44:38
KH000011,UNIQUE0000011,Pham Loc Thien,0925909173,pham.loc.thien573@customer.tgdd.vn,Tuy Hoa,Phu Yen,Central,Platinum,True,2023-05-06T10:44:38
KH000012,UNIQUE0000012,Quach Kim Yen,0998054149,quach.kim.yen467@customer.tgdd.vn,Da Lat,Lam Dong,Central Highlands,Gold,True,2023-05-25T10:44:38
KH000013,UNIQUE0000013,Dang Hoang Tung,0957840166,đang.hoang.tung815@customer.tgdd.vn,Hanoi,Hanoi,North,Gold,True,2023-01-16T10:44:38
KH000014,UNIQUE0000014,Ho Huong Luu,0938632529,ho.huong.luu545@customer.tgdd.vn,Phan Thiet,Binh Thuan,Central,Silver,True,2024-04-27T10:44:38
KH000015,UNIQUE0000015,Lam Kiet Quan,0940015755,lam.kiet.quan394@customer.tgdd.vn,Ho Chi Minh City,HCMC,South,Gold,True,2025-09-18T10:44:38
KH000016,UNIQUE0000016,Ha Manh Phuc,0944428322,ha.manh.phuc094@customer.tgdd.vn,Phan Thiet,Binh Thuan,Central,Gold,True,2024-04-03T10:44:38
KH000017,UNIQUE0000017,Trieu Loc Truong,0947835665,trieu.loc.truong221@customer.tgdd.vn,Nha Trang,Khanh Hoa,Central,Silver,True,2024-06-13T10:44:38
KH000018,UNIQUE0000018,Doan Dinh Tien,0982061967,đoan.đinh.tien708@customer.tgdd.vn,Rach Gia,Kien Giang,South,Silver,False,2023-09-08T10:44:38
KH000019,UNIQUE0000019,Le Thien Sang,0965112670,le.thien.sang602@customer.tgdd.vn,Thai Nguyen,Thai Nguyen,North,Platinum,True,2023-03-06T10:44:38
KH000020,UNIQUE0000020,Mai Phuc Hieu,0998038842,mai.phuc.hieu975@customer.tgdd.vn,Dong Ha,Quang Tri,Central,Diamond,True,2022-11-20T10:44:38
KH000021,UNIQUE0000021,Ly Thi Tien,0968607378,ly.thi.tien448@customer.tgdd.vn,Quang Ninh,Quang Ninh,North,Platinum,True,2024-08-14T10:44:38
KH000022,UNIQUE0000022,Pham Anh Luu,0963944098,pham.anh.luu759@customer.tgdd.vn,Phan Thiet,Binh Thuan,Central,Platinum,True,2025-04-10T10:44:38
KH000023,UNIQUE0000023,Vu Son Dai,0988371005,vu.son.đai209@customer.tgdd.vn,Da Nang,Da Nang,Central,Gold,True,2024-08-02T10:44:38
KH000024,UNIQUE0000024,Dang Thanh Quynh,0975712656,đang.thanh.quynh381@customer.tgdd.vn,Ha Tinh,Ha Tinh,North,Silver,True,2025-07-16T10:44:38
KH000025,UNIQUE0000025,Bui Cuong Manh,0972597840,bui.cuong.manh064@customer.tgdd.vn,Vung Tau,Ba Ria-Vung Tau,South,Gold,False,2023-11-09T10:44:38
KH000026,UNIQUE0000026,Thoi Gia Thai,0911094950,thoi.gia.thai349@customer.tgdd.vn,Bien Hoa,Dong Nai,South,Gold,False,2023-05-11T10:44:38
KH000027,UNIQUE0000027,Cao Minh Nam,0959556877,cao.minh.nam886@customer.tgdd.vn,Rach Gia,Kien Giang,South,Platinum,True,2023-04-05T10:44:38
KH000028,UNIQUE0000028,Tran Kim Man,0964501360,tran.kim.man097@customer.tgdd.vn,Dong Hoi,Quang Binh,North,VIP,True,2025-07-20T10:44:38
KH000029,UNIQUE0000029,Kieu Thi Nghi,0931263656,kieu.thi.nghi165@customer.tgdd.vn,Vinh,Nghe An,North,Gold,True,2024-04-12T10:44:38
KH000030,UNIQUE0000030,Trieu Van Dat,0955248182,trieu.van.đat485@customer.tgdd.vn,Can Tho,Can Tho,South,Silver,True,2025-05-13T10:44:38
KH000031,UNIQUE0000031,Bui Anh Hao,0932031895,bui.anh.hao344@customer.tgdd.vn,Quang Ninh,Quang Ninh,North,Silver,True,2023-06-14T10:44:38
KH000032,UNIQUE0000032,Do Thao Thu,0958518819,đo.thao.thu466@customer.tgdd.vn,Hanoi,Hanoi,North,Gold,True,2024-11-15T10:44:38
KH000033,UNIQUE0000033,Cao Ha Yen,0984621358,cao.ha.yen750@customer.tgdd.vn,Hai Phong,Hai Phong,North,Gold,True,2023-04-19T10:44:38
KH000034,UNIQUE0000034,Dang Quynh Loan,0987902762,đang.quynh.loan168@customer.tgdd.vn,Rach Gia,Kien Giang,South,Gold,True,2024-03-20T10:44:38
KH000035,UNIQUE0000035,Ngo Lan Hong,0941695032,ngo.lan.hong069@customer.tgdd.vn,Hanoi,Hanoi,North,Gold,False,2023-10-20T10:44:38
KH000036,UNIQUE0000036,Ton Minh An,0998162606,ton.minh.an609@customer.tgdd.vn,Hai Phong,Hai Phong,North,Silver,True,2022-12-13T10:44:38
KH000037,UNIQUE0000037,To Tung Quoc,0950778270,to.tung.quoc924@customer.tgdd.vn,Dong Ha,Quang Tri,Central,Silver,True,2025-07-16T10:44:38
