seller_id,seller_name,seller_email,seller_phone,seller_zip_code_prefix,seller_city,seller_state
seller_001,Duong Tung Hung,duong.tung.hung944@thegioididong.com,095201343,592325,Nha Trang,Khanh Hoa
seller_002,Le Thien Chuong,le.thien.chuong790@thegioididong.com,097953994,527738,Thanh Hoa,Thanh Hoa
seller_003,Ho Xuan Mai,ho.xuan.mai078@thegioididong.com,093164528,378183,Can Tho,Can Tho
seller_004,Thoi Minh Tan,thoi.minh.tan832@thegioididong.com,095437368,780392,Hai Phong,Hai Phong
seller_005,To Thanh Son,to.thanh.son983@thegioididong.com,098262322,827185,Da Lat,Lam Dong
seller_006,Ho Manh Quoc,ho.manh.quoc693@thegioididong.com,096698676,858522,Nam Dinh,Nam Dinh
seller_007,Yen Hung Giau,yen.hung.giau495@thegioididong.com,098843384,984807,Nha Trang,Khanh Hoa
seller_008,Chu Huu Khang,chu.huu.khang116@thegioididong.com,096832391,443861,Quy Nhon,Binh Dinh
seller_009,Kim Thanh Chuong,kim.thanh.chuong431@thegioididong.com,093804156,790674,Rach Gia,Kien Giang
seller_010,Ho Thanh Dai,ho.thanh.đai719@thegioididong.com,097722945,720999,Thu Dau Mot,Binh Duong
seller_011,Thai Giang Chinh,thai.giang.chinh026@thegioididong.com,092636021,126730,Pleiku,Gia Lai
seller_012,Ho Phuong Thao,ho.phuong.thao154@thegioididong.com,095465532,642824,Phan Thiet,Binh Thuan
seller_013,Bui Tuyet Giang,bui.tuyet.giang633@thegioididong.com,096729348,600263,Nha Trang,Khanh Hoa
seller_014,Thoi Phuc Dat,thoi.phuc.đat161@thegioididong.com,096540658,928635,Can Tho,Can Tho
seller_015,Ngo Thao Cuc,ngo.thao.cuc567@thegioididong.com,094799454,449265,Vinh,Nghe An
seller_016,Ong Minh Phi,ong.minh.phi919@thegioididong.com,098493694,480486,Hai Phong,Hai Phong
seller_017,Dang Yen My,đang.yen.my938@thegioididong.com,095503297,182471,Tuy Hoa,Phu Yen
seller_018,Dinh Gia Chuong,đinh.gia.chuong097@thegioididong.com,093449769,127798,Buon Ma Thuot,Dak Lak
seller_019,Cao Hoang Phi,cao.hoang.phi871@thegioididong.com,099712595,518008,Thu Dau Mot,Binh Duong
seller_020,Truong Phuc Khiem,truong.phuc.khiem180@thegioididong.com,097178792,354468,Quang Ninh,Quang Ninh
seller_021,Vo Ngan Nhi,vo.ngan.nhi339@thegioididong.com,092242345,111516,Hue,Thua Thien Hue
seller_022,Thoi Linh Huong,thoi.linh.huong382@thegioididong.com,095450150,688763,Quy Nhon,Binh Dinh
seller_023,Ung Anh Ly,ung.anh.ly447@thegioididong.com,091211629,719494,Tuy Hoa,Phu Yen
seller_024,Ton Anh Tuyen,ton.anh.tuyen841@thegioididong.com,095819519,395300,Thu Dau Mot,Binh Duong
